plate_number,expected_decision,expected_confidence,basis
DL05GH0505,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-07, seen by camera 2026-07-25T18:00:00"
UP16AB0506,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-21, seen by camera 2026-07-07T00:00:00"
DL05GH0507,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-05
UP16IJ0508,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-05, seen by camera 2026-08-23T19:00:00"
DL05CD0509,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-08, seen by camera 2026-09-03T09:00:00"
HR26IJ0510,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-11
DL01EF0511,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-20
UP16IJ0512,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-04, seen by camera 2026-08-29T03:00:00"
DL01CD0513,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-22, seen by camera 2026-08-25T14:00:00"
DL01AB0514,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-31, seen by camera 2026-08-11T20:00:00"
DL01AB0515,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-09
DL01IJ0516,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-16, seen by camera 2026-07-27T22:00:00"
DL01EF0517,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-15, seen by camera 2026-08-08T05:00:00"
HR26AB0518,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-10, seen by camera 2026-08-04T11:00:00"
UP16AB0519,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-07, seen by camera 2026-09-03T01:00:00"
DL05IJ0520,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-08-04, never seen by a camera"
UP16AB0521,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-07, seen by camera 2026-08-07T10:00:00"
HR26GH0522,UNINSURED — REPORT,HIGH,latest policy ended 2026-07-11
MH12GH0523,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
UP16AB0524,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-18, seen by camera 2026-09-04T04:00:00"
MH12EF0525,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-14, seen by camera 2026-07-30T03:00:00"
DL05IJ0526,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-23, seen by camera 2026-08-11T11:00:00"
HR26EF0527,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-09-01, never seen by a camera"
MH12IJ0528,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-02-13, never seen by a camera"
UP16AB0529,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
HR26EF0530,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01AB0531,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-10, seen by camera 2026-07-07T09:00:00"
HR26IJ0532,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-26, seen by camera 2026-08-12T14:00:00"
DL01CD0533,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-05, never seen by a camera"
HR26IJ0534,UNINSURED — REPORT,HIGH,latest policy ended 2026-07-01
UP16IJ0535,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-05, seen by camera 2026-07-18T03:00:00"
DL05CD0536,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12AB0537,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-28, seen by camera 2026-08-04T22:00:00"
DL05GH0538,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-29, never seen by a camera"
DL05IJ0539,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL05CD0540,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-12, seen by camera 2026-08-08T20:00:00"
DL01EF0541,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-03, seen by camera 2026-08-31T04:00:00"
UP16CD0542,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-03, seen by camera 2026-08-20T03:00:00"
MH12EF0543,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-01, seen by camera 2026-07-15T14:00:00"
UP16GH0544,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-07, seen by camera 2026-07-07T18:00:00"
UP16GH0545,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-03-30, never seen by a camera"
UP16EF0546,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-16, seen by camera 2026-08-20T01:00:00"
UP16GH0547,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-26
DL01IJ0548,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-26, seen by camera 2026-07-31T13:00:00"
DL05GH0549,UNINSURED — REPORT,HIGH,no insurance policy on record
HR26AB0550,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-09-01, seen by camera 2026-08-29T17:00:00"
DL01AB0551,UNINSURED — REPORT,HIGH,no insurance policy on record
DL05GH0552,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-16, seen by camera 2026-08-01T17:00:00"
HR26AB0553,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-23, never seen by a camera"
DL05EF0554,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-24, seen by camera 2026-07-06T12:00:00"
DL01IJ0555,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
HR26EF0556,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01EF0557,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12EF0558,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-03, seen by camera 2026-08-31T06:00:00"
HR26AB0559,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-07-01
HR26IJ0560,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16IJ0561,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-21, seen by camera 2026-08-20T05:00:00"
HR26EF0562,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-11, seen by camera 2026-08-13T23:00:00"
DL05AB0563,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-03, seen by camera 2026-08-02T10:00:00"
MH12AB0564,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-04, seen by camera 2026-08-12T13:00:00"
DL01IJ0565,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-18, seen by camera 2026-08-29T04:00:00"
DL01IJ0566,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-30, seen by camera 2026-08-01T04:00:00"
DL01CD0567,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-07
HR26GH0568,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-10, seen by camera 2026-09-01T10:00:00"
MH12EF0569,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-27, seen by camera 2026-08-01T07:00:00"
DL01AB0570,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
HR26IJ0571,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-12, seen by camera 2026-08-22T20:00:00"
UP16IJ0572,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-23, seen by camera 2026-07-31T17:00:00"
MH12GH0573,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-28, seen by camera 2026-08-25T11:00:00"
UP16GH0574,UNINSURED — REPORT,HIGH,latest policy ended 2026-07-25
DL01GH0575,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-11
HR26EF0576,UNINSURED — REPORT,HIGH,no insurance policy on record
DL05AB0577,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-29, seen by camera 2026-08-15T17:00:00"
DL01GH0578,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-15, never seen by a camera"
UP16GH0579,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-01, seen by camera 2026-08-19T19:00:00"
DL05GH0580,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-05, seen by camera 2026-07-19T23:00:00"
DL01EF0581,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-02, seen by camera 2026-09-02T00:00:00"
DL05GH0582,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-08, seen by camera 2026-07-09T11:00:00"
UP16GH0583,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-29
DL01GH0584,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-28, seen by camera 2026-07-31T00:00:00"
MH12EF0585,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-30, seen by camera 2026-08-03T11:00:00"
DL01EF0586,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-06, seen by camera 2026-08-13T06:00:00"
HR26IJ0587,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-26, seen by camera 2026-07-14T21:00:00"
DL01CD0588,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
UP16CD0589,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-05, seen by camera 2026-08-31T01:00:00"
DL01GH0590,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
DL05GH0591,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-18, seen by camera 2026-08-01T18:00:00"
UP16CD0592,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12GH0593,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-02-17, never seen by a camera"
HR26EF0594,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-09-02, never seen by a camera"
MH12GH0595,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-29, never seen by a camera"
MH12GH0596,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-14
HR26AB0597,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-31
DL01CD0598,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-13, seen by camera 2026-07-23T13:00:00"
DL01GH0599,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-25
MH12EF0600,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-07-24
DL01AB1234,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-14, seen by camera 2026-09-04T08:30:00"
DL05CD9876,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-10
HR26EF4455,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-15
UP16GH1122,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
DL03SC5566,SCRAPPED — ALERT POLICE,HIGH,scrapped 2024-07-15 but sighted again by a camera since
UP32QQ9000,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-12T12:00:00 but never registered
HR51XY9001,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-26T12:00:00 but never registered
UP32XY9002,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-19T12:00:00 but never registered
UP32ZZ9003,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-27T12:00:00 but never registered
DL09XY9004,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-20T12:00:00 but never registered
UP32XY9005,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-27T12:00:00 but never registered
UP32QQ9006,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-16T12:00:00 but never registered
DL09XY9007,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-20T12:00:00 but never registered
DL09ZZ9008,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-18T12:00:00 but never registered
DL09QQ9009,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-31T12:00:00 but never registered
HR51ZZ9010,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-29T12:00:00 but never registered
DL09QQ9011,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-19T12:00:00 but never registered
UP32ZZ9012,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-09-03T12:00:00 but never registered
HR51QQ9013,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-12T12:00:00 but never registered
DL09XY9014,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-08-06T12:00:00 but never registered
MH12IJ7788,UNREGISTERED / SUSPICIOUS,MEDIUM,seen by camera 2026-09-04T07:10:00 but never registered
